Document_Number,Posting_Date,Fiscal_Year_Period,Company_Code,Store,Cost_Center,GL_Account,GL_Account_Name,Cost_Category,Cost_Subcategory,Amount_USD,Currency
ACD-101327,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,33.59,USD
ACD-101328,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,65.13,USD
ACD-101329,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,37.77,USD
ACD-101330,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,29.73,USD
ACD-101331,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,24.42,USD
ACD-101332,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,22.48,USD
ACD-101333,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,635.07,USD
ACD-101334,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,150.15,USD
ACD-101335,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,108.15,USD
ACD-101336,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,28.42,USD
ACD-101337,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,61.97,USD
ACD-101338,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,24.63,USD
ACD-101339,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,24.99,USD
ACD-101340,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,16.66,USD
ACD-101341,2025-02-19,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,23.39,USD
ACD-101342,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,489.91,USD
ACD-101343,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,123.63,USD
ACD-101344,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,80.38,USD
ACD-101345,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,27.78,USD
ACD-101346,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,49.74,USD
ACD-101347,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,27.9,USD
ACD-101348,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,23.56,USD
ACD-101349,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,13.89,USD
ACD-101350,2025-02-19,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,16.93,USD
ACD-101351,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,724.05,USD
ACD-101352,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,174.57,USD
ACD-101353,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,129.6,USD
ACD-101354,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,40.79,USD
ACD-101355,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,82.38,USD
ACD-101356,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,26.54,USD
ACD-101357,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.59,USD
ACD-101358,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,22.16,USD
ACD-101359,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,32.05,USD
ACD-101360,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,673.38,USD
ACD-101361,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,150.91,USD
ACD-101362,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,118.1,USD
ACD-101363,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,38.4,USD
ACD-101364,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,58.31,USD
ACD-101365,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,31.23,USD
ACD-101366,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,17.88,USD
ACD-101367,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,21.91,USD
ACD-101368,2025-02-20,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,18.94,USD
ACD-101369,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,524.57,USD
ACD-101370,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,135.26,USD
ACD-101371,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,82.18,USD
ACD-101372,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,25.72,USD
ACD-101373,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,49.39,USD
ACD-101374,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,17.4,USD
ACD-101375,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,12.06,USD
ACD-101376,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,14.27,USD
ACD-101377,2025-02-20,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,16.49,USD
ACD-101378,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,1262.85,USD
ACD-101379,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,296.77,USD
ACD-101380,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,190.5,USD
ACD-101381,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,74.02,USD
ACD-101382,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,83.41,USD
ACD-101383,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,34.83,USD
ACD-101384,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,30.09,USD
ACD-101385,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,15.36,USD
ACD-101386,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,24.12,USD
ACD-101387,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,1004.71,USD
ACD-101388,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,249.01,USD
ACD-101389,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,154.89,USD
ACD-101390,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,54.37,USD
ACD-101391,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,62.07,USD
ACD-101392,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,20.77,USD
ACD-101393,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.98,USD
ACD-101394,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,14.44,USD
ACD-101395,2025-02-21,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,26.85,USD
ACD-101396,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,729.89,USD
ACD-101397,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,181.81,USD
ACD-101398,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,121.04,USD
ACD-101399,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,30.82,USD
ACD-101400,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,48.22,USD
ACD-101401,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,20.53,USD
ACD-101402,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,11.99,USD
ACD-101403,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,13.49,USD
ACD-101404,2025-02-21,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,21.79,USD
ACD-101405,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,990.79,USD
ACD-101406,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,222.37,USD
ACD-101407,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,175.52,USD
ACD-101408,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,51.46,USD
ACD-101409,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,61.19,USD
ACD-101410,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,32.65,USD
ACD-101411,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.45,USD
ACD-101412,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,15.44,USD
ACD-101413,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,26.04,USD
ACD-101414,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,912.01,USD
ACD-101415,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,209.42,USD
ACD-101416,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,148.2,USD
ACD-101417,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,48.6,USD
ACD-101418,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,53.72,USD
ACD-101419,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,34.15,USD
ACD-101420,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.81,USD
ACD-101421,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,17.55,USD
ACD-101422,2025-02-22,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,23.08,USD
ACD-101423,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,886.47,USD
ACD-101424,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,214.67,USD
ACD-101425,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,143.35,USD
ACD-101426,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,43.79,USD
ACD-101427,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,54.83,USD
ACD-101428,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,28.28,USD
ACD-101429,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.53,USD
ACD-101430,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,9.65,USD
ACD-101431,2025-02-22,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,21.74,USD
ACD-101432,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,933.93,USD
ACD-101433,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,232.85,USD
ACD-101434,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,157.69,USD
ACD-101435,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,51.77,USD
ACD-101436,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,80.6,USD
ACD-101437,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,29.69,USD
ACD-101438,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,16.98,USD
ACD-101439,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,20.87,USD
ACD-101440,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,31.23,USD
ACD-101441,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,722.38,USD
ACD-101442,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,181.44,USD
ACD-101443,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,118.43,USD
ACD-101444,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,38.94,USD
ACD-101445,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,66.28,USD
ACD-101446,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,31.9,USD
ACD-101447,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.74,USD
ACD-101448,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,20.43,USD
ACD-101449,2025-02-23,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,22.51,USD
ACD-101450,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,638.91,USD
ACD-101451,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,141.68,USD
ACD-101452,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,99.66,USD
ACD-101453,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,26.09,USD
ACD-101454,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,60.48,USD
ACD-101455,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,22.98,USD
ACD-101456,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,23.62,USD
ACD-101457,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,14.66,USD
ACD-101458,2025-02-23,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,16.66,USD
ACD-101459,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,866.95,USD
ACD-101460,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,197.36,USD
ACD-101461,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,139.33,USD
ACD-101462,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,48.22,USD
ACD-101463,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,84.13,USD
ACD-101464,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,29.68,USD
ACD-101465,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,18.38,USD
ACD-101466,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,18.47,USD
ACD-101467,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,32.26,USD
ACD-101468,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,735.24,USD
ACD-101469,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,188.06,USD
ACD-101470,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,118.81,USD
ACD-101471,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,43.73,USD
ACD-101472,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,63.16,USD
ACD-101473,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,27.57,USD
ACD-101474,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,27.62,USD
ACD-101475,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,17.47,USD
ACD-101476,2025-02-24,2025-02,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,26.46,USD
ACD-101477,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,602.98,USD
ACD-101478,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,134.56,USD
ACD-101479,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,101.35,USD
ACD-101480,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,34.04,USD
ACD-101481,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,53.11,USD
ACD-101482,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,20.76,USD
ACD-101483,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,12.39,USD
ACD-101484,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,15.78,USD
ACD-101485,2025-02-24,2025-02,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,17.16,USD
ACD-101486,2025-02-25,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,808.98,USD
ACD-101487,2025-02-25,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,191.76,USD
ACD-101488,2025-02-25,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,138.09,USD
ACD-101489,2025-02-25,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,38.05,USD
ACD-101490,2025-02-25,2025-02,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,61.89,USD
